"Key";"Source";"Translation";"Context"
"fossil.midnightconfig.breedingDinos";"Enable Breeding Dinos";"Dinofortpflanzung aktivieren";""
"fossil.midnightconfig.breedingDinos.tooltip";"True if Dinosaurs should breed";"True, wenn Dinos sich fortpflanzen können sollen";""
"fossil.midnightconfig.eggsLikeChickens";"Eggs Like Chickens";"Eier wie Hühnereier";""
"fossil.midnightconfig.eggsLikeChickens.tooltip";"True if Dinosaurs should create item eggs instead of entities";"True, wenn Dinoeier wie Hühnerei als Items gedroppt werden sollen";""
"fossil.midnightconfig.whipToTameDino";"Whip To Tame Dino";"Dino mit Peitsche zähmen";""
"fossil.midnightconfig.whipToTameDino.tooltip";"True if Whips can be used to tame some dinosaurs";"True, wenn die Peitsche Dinos zähmen können soll";""
"fossil.midnightconfig.pregnancyDuration";"Pregnancy Duration";"Schwangerschaftsdauer";""
"fossil.midnightconfig.pregnancyDuration.tooltip";"How long mammal pregnancies last, in ticks";"In ticks";""
"fossil.midnightconfig.dinosBreakBlocks";"Dinos Break Blocks";"Dinos können Blöcke zerbrechen";""
"fossil.midnightconfig.dinosBreakBlocks.tooltip";"True if certain Dinosaurs can break blocks weaker than the set hardness";"True, wenn manche Dinos Blöcke unter einer bestimmten Härte zerbrechen können sollen";""
"fossil.midnightconfig.blockBreakHardness";"Block Break Hardness";"Blockbruchhärte";""
"fossil.midnightconfig.blockBreakHardness.tooltip";"Minimum hardness that a block needs in order not to break. 
The default is iron(5). 
A value of 0.4 would be enough to break leaves and glass but not dirt";"Minimale Härte die ein Block brauch, um nicht zu zerbrechen. 
Der Standard ist Eisen(5). 
Ein Wert von 0.4 wäre genug um Laub und Glas aber nicht Erde zu zerbrechen";""
"fossil.midnightconfig.featheredDilo";"Feathered Dilophosaurus";"Gefiederte Dilophosaurus";""
"fossil.midnightconfig.featheredDilo.tooltip";"True if Dilophosaurus should be feathered";"True, wenn Dilophosaurus gefiedert sein soll";""
"fossil.midnightconfig.featheredCerato";"Feathered Ceratosaurus";"Gefiederter Ceratosaurus";""
"fossil.midnightconfig.featheredCerato.tooltip";"True if Ceratosaurus should be feathered";"True, wenn Ceratosaurus gefiedert sein soll";""
"fossil.midnightconfig.featheredDryo";"Feathered Dryosaurus";"Gefiederte Dryosaurus";""
"fossil.midnightconfig.featheredDryo.tooltip";"True if Dryosaurus should be feathered";"True, wenn Dryosaurus gefiedert sein soll";""
"fossil.midnightconfig.dinosEatBlocks";"Dinos Eat Blocks";"Dinos können Blöcke fressen";""
"fossil.midnightconfig.dinosEatBlocks.tooltip";"True if herbivores can eat plant blocks";"True, wenn Pflanzenfresser Pflanzenblöcke fressen können";""
"fossil.midnightconfig.dinosEatModdedMobs";"Dinos Eat Modded Mobs";"Dinos können Kreaturen aus anderen Mods fressen";""
"fossil.midnightconfig.dinosEatModdedMobs.tooltip";"True if Dinosaurs can hunt non-vanilla mobs";"True, wenn Dinos Kreaturen aus anderen Mods freesen können";""
"fossil.midnightconfig.animalsFearDinos";"Animals Fear Dinos";"Tiere fürchten Dinos";""
"fossil.midnightconfig.animalsFearDinos.tooltip";"True if vanilla animals should run away from dangerous Dinosaurs";"True, wenn Vanilla Tiere vor Dinos wegrennen sollen";""
"fossil.midnightconfig.customMainMenu";"Custom Main Menu";"Angepasstes Hauptmenü";""
"fossil.midnightconfig.customMainMenu.tooltip";"True if the Custom Main Menu should be enabled";"True, wenn unser angepasstes Hauptmenü angezeigt werden soll";""
"fossil.midnightconfig.helmetOverlays";"Helmet Overlays";"Helm-Overlay";""
"fossil.midnightconfig.helmetOverlays.tooltip";"True if bone helmet and ancient helmet should render overlays like vanilla pumpkin";"True, wenn der Knochenhelm und der Antike Helm ein kürbisähnliches Overlay anzeigen soll";""
"fossil.midnightconfig.flyingTargetMaxHeight";"Flying Target Max Height";"Maximum Flughöhe";""
"fossil.midnightconfig.flyingTargetMaxHeight.tooltip";"Maximum height that flying creatures should be able to fly to";"Maximale Höhe die eine Flugkreatur erreichen darf";""
"fossil.midnightconfig.cultureVatFailChance";"Culture Vat Fail Chance";"Misserfolgswahrscheinlichkeit für Kultivierungsbehälter";""
"fossil.midnightconfig.cultureVatFailChance.tooltip";"Percentage chance that the Culture Vat will break";"Wahrscheinlichkeit, dass der Kultivierungsbehälter zerbrechen wird";""
"fossil.midnightconfig.machinesRequireEnergy";"Machines Require Energy";"Maschinen verbrauchen Energie";""
"fossil.midnightconfig.machinesRequireEnergy.tooltip";"True if machines require Energy to operate";"True, wenn Maschinen Energie brauchen sollen";""
"fossil.midnightconfig.machineMaxEnergy";"Machine Max Energy";"Maximale Energie in Maschinen";""
"fossil.midnightconfig.machineMaxEnergy.tooltip";"Max stored Energy machines can have";"Maximale Energie die in Maschinen gespeichert werden soll";""
"fossil.midnightconfig.machineTransferRate";"Machine Transfer Rate";"Übertragungsrate der Maschinen";""
"fossil.midnightconfig.machineTransferRate.tooltip";"Max Energy machines can transfer per tick";"Maximale Energie die Maschinen jeden tick übertragen können";""
"fossil.midnightconfig.machineEnergyUsage";"Machine Energy Usage";"Energieverbrauch der Maschinen";""
"fossil.midnightconfig.machineEnergyUsage.tooltip";"How much Energy machines consume per tick";"Wie viel Energie pro tick verbraucht wird";""
"fossil.midnightconfig.fernTickRate";"Fern Tick Rate";"Farn Wachsrate";""
"fossil.midnightconfig.fernTickRate.tooltip";"How often ferns try to grow. Higher number = less growth";"Wie oft Farn versucht zu wachsen. Höhere Nummer = weniger Wachstum";""
"fossil.midnightconfig.anuBlockPlacing";"Anu Block Placing";"Anu kann Blöcke platzieren";""
"fossil.midnightconfig.anuBlockPlacing.tooltip";"True if Anu should be able to place blocks";"True, wenn Anu während des Kampfes Blöcke platzieren können soll";""
"fossil.midnightconfig.anubiteHasCooldown";"Anubite Statues Cooldown";"Anubitstatuen Abklingzeit";""
"fossil.midnightconfig.anubiteHasCooldown.tooltip";"True if Anubite statues shouldn't disappear after activation and instead go on cooldown";"True, wenn Anubitstatuen nach der Aktivierung nicht verschwinden, sondern eine Abklingzeit haben sollen";""
"fossil.midnightconfig.anubiteCooldown";"Anubite Statue Cooldown";"Anubitstatuen Abklingzeit";""
"fossil.midnightconfig.anubiteCooldown.tooltip";"Cooldown between activations in ticks";"Dauer der Abklingzeit in ticks";""
"advancements.fossil.root.title";"Fossils & Archeology Revival";"Fossils & Archeology Revival";""
"advancements.fossil.root.description";"Dinosaurs, artifacts, and remains of the past";"Dinosaurier, Artefakte und Überreste aus der Vergangenheit";""
"advancements.fossil.all_eggs.title";"Enough to fill a park or two";"Genug, um ein oder zwei Parks zu füllen";""
"advancements.fossil.all_eggs.description";"Incubate at least one of each egg";"Brüte von jedem Ei mindestens eines aus";""
"advancements.fossil.all_embryos.title";"Mammal dominance";"Dominanz der Säugetiere";""
"advancements.fossil.all_embryos.description";"Implant at least one of each embryo";"Pflanze von jedem Embryo mindestens eines ein";""
"advancements.fossil.analyzer.title";"Research Time";"Zeit für Forschung";""
"advancements.fossil.analyzer.description";"Craft an Analyzer to make something of these ancient remains";"Stelle einen Analysator her, um etwas mit diesen antiken Überresten anzufangen";""
"advancements.fossil.ancient_clock.title";"The Time Masheen";"Die Zeitmaschine";""
"advancements.fossil.ancient_clock.description";"Using the Ancient Key, unlock the treasures of the Ancient Chest";"Benutze den antiken Schlüssel, um die Schätze der antiken Truhe freizulegen";""
"advancements.fossil.anu_lair.title";"Tomb of the False God";"Das Grab des falschen Gottes";""
"advancements.fossil.anu_lair.description";"Locked Away for a Thousand Years";"Für tausend Jahre weggesperrt";""
"advancements.fossil.anubite.title";"Protectors of Anu";"Beschützer von Anu";""
"advancements.fossil.anubite.description";"Encounter an Anubite";"Begegne einem Anubit";""
"advancements.fossil.break_fossil.title";"Digging Deep";"Tief gegraben";""
"advancements.fossil.break_fossil.description";"Obtain a Bio Fossil or a Relic Scrap from a Fossil Block";"Erhalte ein Biofossil oder ein Reliktschrott aus einem Fossilblock";""
"advancements.fossil.broken_sword.title";"Into a Million Pieces";"In einer Million Stücke";""
"advancements.fossil.broken_sword.description";"Find a Broken Ancient Sword or a Broken Ancient Helmet";"Finde ein zerbrochenes antikes Schwert oder einen zerbrochenen antiken Helm";""
"advancements.fossil.ancient_sword.title";"Using plenty of glue";"Mit ner Menge Klebstoff";""
"advancements.fossil.ancient_sword.description";"Repair a Broken Ancient Sword or a Broken Ancient Helmet";"Repariere ein zerbrochenes antikes Schwert oder einen zerbrochenen antiken Helm";""
"advancements.fossil.culture_vat.title";"The Crucible";"Der Schmelztiegel";""
"advancements.fossil.culture_vat.description";"Create a Culture Vat to restore prehistoric creatures from DNA";"Stelle einen Kultivierungsbehälter her, um prähistorische Kreaturen aus DNS wiederherzustellen";""
"advancements.fossil.dino_eggs.title";"Eggs!";"Eier!";""
"advancements.fossil.dino_eggs.description";"Cultivate an egg from DNA";"Kultiviere ein Ei aus DNS";""
"advancements.fossil.dinopedia.title";"Read all about it!";"Hier kannst du alles nachlesen!";""
"advancements.fossil.dinopedia.description";"Craft a dinopedia in order to learn about your prehistoric creature";"Stelle ein Dinopedia her, um mehr über deine prähistorische Kreaturen zu lernen";""
"advancements.fossil.dna.title";"Bingo! Dino DNA!";"Bingo! Dino DNS!";""
"advancements.fossil.dna.description";"Obtain DNA, usually from analyzing Bio Fossils";"Erhalte DNS. In der Regel durch das analysieren von Biofossilen";""
"advancements.fossil.embryos.title";"Starman";"Starman";""
"advancements.fossil.embryos.description";"Cultivate a mammal embryo from DNA";"Kultiviere ein Säugetierembryo aus DNS";""
"advancements.fossil.failuresaurus.title";"Back to the Drawing Boards";"Fangen wir noch mal von vorne an";""
"advancements.fossil.failuresaurus.description";"Encounter a Failuresaurus";"Begegne einem Fehlersaurier";""
"advancements.fossil.figurines.title";"Figures...";"Figures...";""
"advancements.fossil.figurines.description";"Find a figurine. Maybe these could be used to open a certain portal?";"Finde eine Figur. Vielleicht könnte damit irgendein Portal geöffnet werden?";""
"advancements.fossil.fossil_seeds.title";"Seeds of the Past";"Die Saat der Vergangenheit";""
"advancements.fossil.fossil_seeds.description";"Obtain Fossil Seeds from analyzing a Plant Fossil";"Erhalte einen versteinerten Samen durch das analysieren eines Pflanzenfossils";""
"advancements.fossil.fossil_tar.title";"Fossil Fuel";"Fossiler Treibstoff";""
"advancements.fossil.fossil_tar.description";"Obtain a Tar Fossil from analyzing a Tar Drop";"Erhalte ein Teerfossil durch das analysieren eines Teertropfens";""
"advancements.fossil.frozen_meat.title";"ZE ICE AGE!!!";"Komplett tiefgefroren";""
"advancements.fossil.frozen_meat.description";"Get Frozen Meat from Permafrost. It can be analyzed to get Cenozoic DNA";"Erhalte gefrorenes Fleisch aus Permafrost. Hinweis: Analysiere es, DNS aus dem Känozoikum zu erhalten";""
"advancements.fossil.kill_anu.title";"No Gods, No Masters";"Keine Götter, keine Meister";""
"advancements.fossil.kill_anu.description";"Kill Anu";"Töte Anu";""
"advancements.fossil.restored_seeds.title";"Back to Life";"Wieder am Blühen";""
"advancements.fossil.restored_seeds.description";"Restore a Fossilized Seed to a living state in the Culture Vat";"Versetze einen versteinerten Samen im Kultivierungsbehälter wieder in einen lebendigen Zustand";""
"advancements.fossil.sarcophagus.title";"Open Sesame!";"Sesam öffne dich!";""
"advancements.fossil.sarcophagus.description";"Open the Ancient Sarcophagus with a Scarab Gem";"Öffne den geheimnisvollen Sarkophag mit einem Skarabäus";""
"advancements.fossil.scarab_gem.title";"Winning the Lottery";"Lotteriegewinn";""
"advancements.fossil.scarab_gem.description";"Gain a Scarab Gem as a rare drop from a Fossil Block";"Erhalte einen Skarabäus als seltenen Gegenstand aus einem Fossilblock";""
"advancements.fossil.scarab_tame.title";"King of the Beasts!";"König der Bestien!";""
"advancements.fossil.scarab_tame.description";"Tame a large predator using a Scarab Gem or an Aquatic Scarab Gem";"Zähme einen großes Raubtier mit einem Skarabäus oder einem aquatischen Skarabäus";""
"advancements.fossil.stone_tablet.title";"The Never Ending Story";"Die unendliche Geschichte";""
"advancements.fossil.stone_tablet.description";"Obtain a Stone Tablet from analyzing Relic Scrap";"Erhalte eine Steintafel durch das Analysieren von Reliktschrott";""
"advancements.fossil.tar_drop.title";"Tar Tar Sauce";"Vorsicht! Klebrig!";""
"advancements.fossil.tar_drop.description";"Turn a Bucket of Tar into Tar Drops";"Verwandle einen Teereimer in Teertropfen";""
"advancements.fossil.worktable.title";"It Belongs in a Museum!";"Es gehört in ein Museum!";""
"advancements.fossil.worktable.description";"Craft an Archeologist Workbench";"Stelle eine Archäologen-Werkbank her";""
